id,split,text,teks_bersih,label_asli,prediksi_svm,prediksi_nb,svm_benar,nb_benar
19,train,terima kasih id aku dapat voucher . tidak menyesal deh pakai asuransi kesehatan dan pendidikan nya . :,terima kasih id voucher sesal deh pakai asuransi sehat didik,positif,positif,positif,ya,ya
20,train,"lokasi kafe ini di bandung atas dago dengan lokasi yang cukup unik , yaitu bangunan yang menuruni tebing dan di tengah tengah rimbunan pohon . dengan lokasi di atas perbukitan , maka pengunjung dapat menikmati pemandangan dan udara yang cukup bagus . resto dan kafe ini menyediakan makanan indonesia dengan berbagai variasi . secara umum penyajian dan rasa makanan nya biasa saja dan pada kondisi . lanjutan",lokasi kafe bandung dago lokasi unik bangun turun tebing tengah tengah rimbun pohon lokasi bukit unjung nikmat pandang udara bagus resto kafe sedia makan indonesia variasi umum saji makan kondisi lanjut,positif,positif,positif,ya,ya
21,train,"baso ceker braga menu wajib untuk dicoba . buka malam hari , harga terjangkau . sangat cocok untuk menemani malam menikmati jalan braga .",baso ceker braga menu wajib coba buka malam harga jangkau cocok tani malam nikmat jalan braga,positif,positif,positif,ya,ya
22,train,kita sering nya ke suis butcher yang di mal festival citylink karena dekat sama rumah . kita suka ke sini karena harga standar tapi rasanya tidak standar . alias enak . apalagi dapat free air putih . makin senang deh .,suis butcher mal festival citylink rumah suka harga standar standar alias free air putih senang deh,positif,positif,positif,ya,ya
23,train,"kesal banget nontonin cara pikir komunitas poligami ini ya ampun , perempuan-perempuan pun mau saja di-brainwash sama laki-laki yang cuma mikirin napsu , aduh .",kesal banget nontonin pikir komunitas poligami ampun perempuan perempuan brainwash laki laki mikirin napsu aduh,negatif,negatif,negatif,ya,ya
24,train,"tempat nya terletak di maribaya , udara nya sejuk , suasana nya romantis banget , makanan nya enak , harga nya agak lumayan mahal . my favorit tempat dengan hubby .",letak maribaya udara sejuk suasana romantis banget makan harga lumayan mahal my favorit hubby,positif,positif,positif,ya,ya
25,train,gelisah,gelisah,negatif,negatif,negatif,ya,ya
26,train,"malang sekarang semakin macet , bikin malas pergi ke malang",malang macet bikin malas pergi malang,negatif,negatif,negatif,ya,ya
27,train,demi apa pun gua ingin marah indosat cacat banget si,gua marah indosat cacat banget si,negatif,negatif,negatif,ya,ya
28,train,di sini anda akan menemukan tempat yang sangat nyaman karena suasa yang sejuk belum lagi dengan suasana seperti dikampung,temu nyaman suasa sejuk suasana kampung,positif,positif,positif,ya,ya
29,train,"kami dengan keluarga makan malam di bandung : dapur pandan wangi . makan an sunda : umum nya ya ayam , gurame lalapan dan sambal nya juga enak-enak",keluarga makan malam bandung dapur pandan wangi makan an sunda umum ayam gurame lalap sambal,positif,positif,positif,ya,ya
30,train,"hai kak , terima kasih atas masukan kamu ya . saran kamu sangat berharga bagi kami . kami akan berupaya meningkatkan performa aplikasi dan pelayanan kami untuk pengalaman jual - beli yang selalu menyenangkan untuk kamu dan semua sobat shopee ya kak :",kak terima kasih masuk saran harga upaya tingkat performa aplikasi layan alam jual beli senang sobat shopee kak,positif,positif,positif,ya,ya
31,train,"waktu itu nyobain nya bukan yang di jalan setiabudi , tapi yang di festival citylink , nasi hainan - nya enak . murah pula , pas di kantonglah untuk porsi segitu . tempat nya kecil , yang di festival citylink maupun di setiabudi .",waktu nyobain jalan setiabudi festival citylink nasi hainan murah pas kantong porsi segitu festival citylink setiabudi,positif,positif,positif,ya,ya
32,train,"tempat lumayan , yang penting masakan eropa nya benar benar lidah eropa dech , tagliatety don pedro favorit ku",lumayan masakan eropa lidah eropa dech tagliatety don pedro favorit ku,positif,positif,positif,ya,ya
33,train,"pusat isu bohong nasional memang bentuk dari kepanikan , klaim nya berhasil bangun ini itu , elektabilitas naik , tetapi diucapkan dengan panik , rakyat tidak akan bisa percaya kalau gitu sih .",pusat isu bohong nasional bentuk panik klaim hasil bangun elektabilitas panik rakyat percaya gitu sih,negatif,negatif,negatif,ya,ya
34,train,"setelah beberapa tahun saya tidak pernah menginjak lembang , dan beberapa teman rekomendasi dusun bambu . maka saya mengajak teman saya yang berkunjung ke bandung . lokasi memang cukup jauh dan rute jalan yang sempit namun kami semua merasa senang bisa makan siang dan berisitirahat di dusun bambu . lembang memang memiliki keunggulan tersendiri dari udara yang segar dan dingin , makanan memang relatif cukup mantap .",tahun injak lembang teman rekomendasi dusun bambu ajak teman kunjung bandung lokasi rute jalan sempit senang makan siang berisitirahat dusun bambu lembang milik unggul sendiri udara segar dingin makan relatif mantap,positif,positif,positif,ya,ya
35,train,di sini tidak cuma jual kopi aja . cemilan juga ada . pelayana nya standar dan tempat nya rada kurang nyaman saja sih buat kumpul,jual kopi aja cemilan pelayana standar rada nyaman sih kumpul,negatif,negatif,positif,ya,tidak
36,train,sekarang rada menyesal sudah buru-buru beli omanjuu yang kecil,rada sesal buru buru beli omanjuu,negatif,negatif,negatif,ya,ya
37,train,demi apa pun tes cpns bikin macet sialannnnnnn,tes cpns bikin macet sialannnnnnn,negatif,negatif,negatif,ya,ya
38,train,"restoran congo terletak di area bandung utara dengan pemandangan indah ke arah kota bandung . dapat dicapai dari dago atas ataupun melalui cigadung . untuk menghindari jalur macet , pilih jakur cigadung , tetapi harus berhati-berhati karena jalan nya agak kecil . pastikan kendaraan yang anda gunakan bertenaga cukup untuk menaklukkan medan tanjakan nya . menu makanan dan minuman sangat bervariasi sehingga kita bisa memilih berbagai tipe makanan .",restoran congo letak area bandung utara pandang indah arah kota bandung capai dago cigadung hindar jalur macet pilih jakur cigadung hati hati jalan pasti kendara tenaga takluk medan tanjak menu makan minum variasi pilih tipe makan,positif,positif,positif,ya,ya
39,train,"saya suka nya produk dalam negri , cinta indonesia soalnyah !",suka produk negri cinta indonesia soalnyah,positif,positif,negatif,ya,tidak
40,train,"tenggelamkan partai busuk . partai jahat , pendompleng dan perusak citra islam , bertopeng malaikat",tenggelam partai busuk partai jahat dompleng usak citra islam topeng malaikat,negatif,negatif,negatif,ya,ya
41,train,"restoran ini mudah dicapai , dekaqt dazri tikungan jalan kelenteng , bandung . masakan yang sudah pernah saya coba adalah mi kepiting dengan nasi hainan campur spesial . mi nya boleh direkomendasikan jika mau cari mi yang sedikit beda , ada diberikan kondimen capit kepiting , namun unutk nasi campur hainan spesial nya , kelebihan cuma ada di sate babi nya dan chasiu babi nya . selebihnya saya lebih rekomendasi nasi hainan .",restoran mudah capai dekaqt dazri tikung jalan kelenteng bandung masakan coba mi kepiting nasi hainan campur spesial mi rekomendasi cari mi beda kondimen capit kepiting unutk nasi campur hainan spesial lebih sate babi chasiu babi lebih rekomendasi nasi hainan,positif,positif,positif,ya,ya
42,train,"kalau ke sini menyiapkan perut kosong ya karena di sini konsep nya ala kamu bisa makan . puas banget makan di sini , sesuai kok sama harga nya . aku suka nya shabu-shabu , enak banget .",perut kosong konsep ala makan puas banget makan sesuai harga suka shabu shabu banget,positif,positif,positif,ya,ya
43,train,"pak prabowo , semoga bapak bisa jadi presiden indonesia , ya , di tahun 2019 , saya akan dukung bapak terus .",prabowo moga presiden indonesia tahun dukung,positif,positif,negatif,ya,tidak
44,train,"jadi cerita nya saya sedang ingin makan spaghetti dengan meatball yang kalau menurut ekspektasi saya adalah bakso yang terbuat dari cingcang yang biasa digunakan di menu pasta , setelah sampai , ternyata bakso yang digunakan adalah bakso olahan yang biasa dipakai di tukang bakso , bahkan bentuk nya tidak bulat . menarik .",cerita makan spaghetti meatball ekspektasi bakso buat cingcang menu pasta bakso bakso olah pakai tukang bakso bentuk bulat tarik,positif,positif,positif,ya,ya
45,train,"semakin ketahuan orang-orang gerindra munafik dan licik . lihat saja fadli zon , m taupig juga si syarif sarap ini .",tahu gerindra munafik licik fadli zon taupig si syarif sarap,negatif,negatif,negatif,ya,ya
46,train,menyesal sekali keluar buat beli cemilan,sesal beli cemilan,negatif,negatif,negatif,ya,ya
47,train,di antara mata kuliah yang ada gue paling tidak suka sama statistika .,kuliah gue suka statistika,negatif,negatif,negatif,ya,ya
48,train,bakso adalah makanan yang sangat populer di indonesia . makanan yang berupa bola daging dengan kuah panas ini merupakan makanan yang diadopsi dari kuliner cina . hampir setiap daerah di indonesia memiliki varian bakso yang berbeda . salah satu nya adalah tuan ki . varian bakso yang berasal dari kota kembang bandung ini sepintas nama nya mirip masakan cina .,bakso makan populer indonesia makan bola daging kuah panas makan adopsi kuliner cina daerah indonesia milik varian bakso beda salah tuan ki varian bakso asal kota kembang bandung pintas nama masakan cina,positif,positif,positif,ya,ya
49,train,tolong ya perbaikan internet indihome saya . saya bayar mahal masa penyelesaikan sampai tanggal 29,tolong baik internet indihome bayar mahal selesai tanggal,negatif,negatif,negatif,ya,ya
50,train,"yeaay , terima kasih id buat fish amp ; co . nya ! baru saja dapat di galaxygiftid",yeaay terima kasih id fish amp co galaxygiftid,positif,positif,positif,ya,ya
51,train,"tidak boleh kalah pak prabowo . kalau sampai kalah , wah sudahlah masa depan indonesia akan suram . yang lebih bahaya dari mak banteng dan harus diwaspadai itu sebenarnya cukong-cukong cina .",kalah prabowo kalah indonesia suram bahaya mak banteng waspada cukong cukong cina,negatif,negatif,negatif,ya,ya
52,train,"saya sebagai aktifis pecinta beruang indonesia apbi , dengan ini merasa kecewa kepada pt nestle . kenapa iklan nya sangat menipu .",aktif cinta beruang indonesia apbi kecewa pt nestle iklan tipu,negatif,negatif,negatif,ya,ya
53,train,"kasihan admin baca nya om . anggarkan ginian . campur aduk antara kesal , dongkol .",kasihan admin baca om anggar ginian campur aduk kesal dongkol,negatif,negatif,negatif,ya,ya
54,train,"lumayan dapat rasa makassar nya meskipun masih kurang mantap , tidak seperti asli nya di makassar . harga sedikit middle up , tapi sesuai dengan porsi nya .",lumayan makassar mantap asli makassar harga middle up sesuai porsi,positif,positif,positif,ya,ya
55,train,pilihan menu nya banyak . masakan nya biasa saja rasanya . kwetiau goreng nya kurang enak dan banyak minyak . porsi kailan cah sapi nya sedikit untuk harga segitu .,pilih menu masakan kwetiau goreng minyak porsi kail cah sapi harga segitu,negatif,negatif,positif,ya,tidak
56,train,"enak banget cb deh ke sini , tidak menyesal . pas banget nih hujan terus makan ikan jambal rame-rame juga seru .",banget cb deh sesal pas banget nih hujan makan ikan jambal rame rame seru,positif,positif,positif,ya,ya
57,train,"sudah dipertimbangkan untuk migrasi , karena tagihan indihome saya saat ini kemahalan",timbang migrasi tagih indihome mahal,negatif,negatif,negatif,ya,ya
58,train,"dengan bangunan dan dekor minimalis temapat ini memberi pengunjung pilihan untuk memandang alam , seni dan bersosialisasi lewat kafe yang dapat memberi inspirasi bagi siapa pun pengunjung nya . bagi anda yang ingin tersinpisrasi dengan kesenian minimalis dan alam yang indah , tempat ini cocok .",bangun dekor minimal temapat unjung pilih pandang alam seni sosial kafe inspirasi unjung tersinpisrasi seni minimal alam indah cocok,positif,positif,positif,ya,ya
59,train,jadi aktris saja bosan jadi yang mainstream,aktris bosan mainstream,negatif,negatif,negatif,ya,ya
60,train,"restoran ini berada di daerah cipancing , lokasi nya pas sekali untuk istirahat di sela perjalanan sambil memanjakan perut . menu masakan nya khas padang yang sudah terkenal kelezatan nya . harga nya lumayan mahal tapi sebanding dengan rasa makanan nya yang enak .",restoran daerah cipancing lokasi pas istirahat jalan manja perut menu masakan khas padang kenal lezat harga lumayan mahal banding makan,positif,positif,positif,ya,ya
61,train,"pelayanan batik air bisnis class di halim mengecewakan , gelas kotor / bau , tv tidak ada dengan alasan pesawat baru , penjemputan dari sate dihilangkan",layan batik air bisnis class halim kecewa gelas kotor bau tv alas pesawat jemput sate hilang,negatif,negatif,negatif,ya,ya
62,train,kesal banget dari tadi jualan yakul tidak untung terus,kesal banget jual yakul untung,negatif,negatif,negatif,ya,ya
63,train,"restoran legendaris di jalan braga sejak jaman belanda dulu , menyajikan menu masakan eropa dan indonesia . steak adalah salah satu menu yang nikmat di restoran ini , selain itu kue-kue coklat khas belanda juga patut dicoba karena memiliki cita rasa zaman kolonial .",restoran legendaris jalan braga jaman belanda saji menu masakan eropa indonesia steak salah menu nikmat restoran kue kue coklat khas belanda patut coba milik cita zaman kolonial,positif,positif,positif,ya,ya
64,train,"makan kaki kambing paha yang empuk dan lumayam besar untuk ukuran medium , pas untuk satu orang , makan tanpa nasi , dengan es lemon tea . segar kekurangan nya hanya tempat nya berasap , wajar kan namanyanjg kambing bakar hehehe",makan kaki kambing paha empuk lumayam ukur medium pas makan nasi es lemon tea segar kurang asap wajar namanyanjg kambing bakar hehehe,positif,positif,positif,ya,ya
65,train,"penista agama itu , yang doyan sara etnis ya , yang ingin khilafah ya , yang diam saja ulama mesum dan sebagai nya dan sebagai nya",nista agama doyan sara etnis khilafah diam ulama mesum,negatif,negatif,negatif,ya,ya
66,train,tidak berfaedah,faedah,negatif,positif,negatif,tidak,ya
67,train,restoran top sea makanan . spesialnya nya kepiting makan dengan kulit nya . untuk saya kurang enak . kulit nya masih agak keras . lebih enak masakan orang cina makanan lain ya . seperti ayam goreng nangking . ifumie dan sapi cah kailan pelayanan biasa-biasa .,restoran top sea makan spesial kepiting makan kulit kulit keras masakan cina makan ayam goreng nangking ifumie sapi cah kail layan,positif,positif,positif,ya,ya
68,train,vivo kamera nya jelek,vivo kamera jelek,negatif,negatif,negatif,ya,ya
69,train,tempat nya unik . ada tempat duduk ex pesawat terbang kelas bisnis . makanan nya seperti bumbu . kopi nya juga enak .,unik duduk ex pesawat terbang kelas bisnis makan bumbu kopi,positif,positif,positif,ya,ya
70,train,walaupun tempat nya hanya di pinggiran ruko tetapi cukup nyaman untuk bersantap di tempat . mi kocok nya enak dan harga nya masih terjangkau . lokasi di seberang stasiun bandung dan disebelah toko kartika sari . minum ambil sendiri di kulkas .,pinggir ruko nyaman santap mi kocok harga jangkau lokasi seberang stasiun bandung belah toko kartika sari minum ambil kulkas,positif,positif,positif,ya,ya
71,train,"sedih saya lihat kota di mana saya dibesarkan . sejak dari orde baru , Jakarta tidak pernah berubah , selalu kotor , kumuh dan kacau . waktu dipimpin ahok , ada karya nyata yang merubah Jakarta jadi ibukota yang manusiawi . sekarang . Jakarta kembali kotor , kumuh dan kacau :",sedih kota besar orde jakarta ubah kotor kumuh kacau waktu pimpin ahok karya rubah jakarta ibukota manusiawi jakarta kotor kumuh kacau,negatif,negatif,negatif,ya,ya
72,train,"acara reuni sama kali ini berbeda dari biasanya karena kali ini kita tidak hanya kumpul biasa melainkan berbagi tentang bisnis yang digeluti teman-teman . asal nya saya bingung memilih tempat yang enak buat kumpul skaligus rapat akhirnya bertemu dengan noah s barn yang ada di jalan dayang sumbi tempat nya nyaman banget adem interior nya bagus makanan di sini juga komplet ada makanan asia , makanan barat .",acara reuni beda kumpul bagi bisnis gelut teman teman bingung pilih kumpul skaligus rapat temu noah barn jalan dayang sumbi nyaman banget adem interior bagus makan komplet makan asia makan barat,positif,positif,positif,ya,ya
73,train,"beberapa kali coba makan di sini , pulang nya pasti kenyang dan senang . menu favorit kepiting lada hitam walaupun kepiting masih agak kecil tapi rasanya hmmm . yang pasti di sini tidak pelit dengan bumbu masakan nya , makan nasi jadi lebih lahap . sampai lupa kolesterol dan teman - tema nya tidak kalah sama restoran-restoran seafood besar lainnya . pokok nya kalau ke bandung , wajib mampir ke sini khusus untuk seafood nya like ini",coba makan pulang kenyang senang menu favorit kepiting lada hitam kepiting hmmm pelit bumbu masakan makan nasi lahap lupa kolesterol teman tema kalah restoran restoran seafood pokok bandung wajib mampir seafood like,positif,positif,positif,ya,ya
74,train,sudah berkali kali makan di rumah makan sambal hejo natuna dan masih akan tetap mengulangi nya lagi . begitu duduk di depan meja makan pelayan langsung menyajikan bermacam macam makanan lengkap ditambah teh hangat . memang terkadang makanan tidak panas tetapi pelayan akan dengan senang hati mengganti nya apabila kita meminta nya . masakan favorit adalah ayam goreng dan cimplung seperti perkedel yang terbuat dari tepung .,kali makan rumah makan sambal hejo natuna ulang duduk meja makan layan saji makan lengkap tambah teh hangat terkadang makan panas layan senang hati ganti masakan favorit ayam goreng cimplung perkedel buat tepung,positif,positif,positif,ya,ya
75,train,menyediakan makanan yang cocok di lidah . aoo ikan yang khas dan enak . jengkol tumis pepaya juga tidak berasa pahit . tempat lumayan nyaman untuk menjamu teman ataupun makan bersama keluarga . sayang nya tempat parkir sempit . jadi harus parkir di bahu jalan .,sedia makan cocok lidah aoo ikan khas jengkol tumis pepaya asa pahit lumayan nyaman jamu teman makan keluarga sayang parkir sempit parkir bahu jalan,positif,positif,positif,ya,ya
76,train,"yang paling suka saya di sini tempura nya kak besar-besar terus harga nya bersahabat kalau tidak salah 10 ribu , haha . saya makan per 2 kira kira setelah 90 ban lumayan lagi porsi nya . langsung saja merapat saudara saudari .",suka tempura kak harga sahabat salah ribu haha makan ban lumayan porsi rapat saudara saudari,positif,positif,positif,ya,ya
77,train,"perdana makan di sini karena kami menginap di tebu hotel yang lokasi nya kebetulan berpunggungan . datang ke hotel kecepetan dan belum bisa cek - in maka dari itu kami jalan-jalan di seputaran hotel dan menemukan deh ini resto . bebek goreng nya enak , kremes nya juga lumayan banyak dan yang paling penting nasi nya banyak hahaha .",perdana makan inap tebu hotel lokasi punggung hotel kecepetan cek in jalan jalan putar hotel temu deh resto bebek goreng kremes lumayan nasi hahaha,positif,positif,positif,ya,ya
78,train,"entah mengapa kalau makan di sini tidak pernah bosen-bosen , makanan pelayanan dan semuanya juga selalu memuaskan",makan bosen bosen makan layan muas,positif,positif,positif,ya,ya
79,train,"makan nya tidak pakai piring pakai alas daun pisang , nasi hangat kd harum daun . model ambil sendiri makanan nya . pilihan lumayan banyak , sambal teri sama teri kipas juara , sambel nya juara sampai bungkus biar enggak kepikiran . mesti mencoba kalau ke bandung sama keluarga besar .",makan pakai piring pakai alas daun pisang nasi hangat kd harum daun model ambil makan pilih lumayan sambal teri teri kipas juara sambel juara bungkus biar pikir mesti coba bandung keluarga,positif,positif,positif,ya,ya
80,train,"setelah kami bergegas dari penginapan , saya dan keluarga singgah untuk makan siang di kampung daun ini . tempat nya nyaman untuk keluarga maupun pasangan , makanan yang disajikan juga tergolong enak dan untuk menu nya disediakan mulai dari makanan dan minuman traditional hingga modern .",gegas inap keluarga singgah makan siang kampung daun nyaman keluarga pasang makan saji golong menu sedia makan minum traditional modern,positif,positif,positif,ya,ya
81,train,"enak ya panjat sosial bawa-bawa korea ? langsung banyak yang komentar begini . biasanya tidak ada yang komenin , eh sekali nya bawa artis korea langsung ramai . sedih kenapa harus pakai cara kotor kayak begini buat pansos . tidak ada konten lain yang lebih bermutu kah daripada menyebar kebencian begini ?",panjat sosial bawa bawa korea komentar komenin eh bawa artis korea ramai sedih pakai kotor kayak pansos konten mutu kah sebar benci,negatif,negatif,negatif,ya,ya
82,train,waduk jadi malu ketahuan galau,waduk malu tahu galau,negatif,negatif,negatif,ya,ya
83,train,paket winger kfc murah meriah dan enak,paket winger kfc murah riah,positif,positif,positif,ya,ya
84,train,dia menganggap orang net itu bodoh dan saya mau dia itu di copot saja dari jabatan menteri . menteri apa yang begini,anggap net bodoh copot jabat menteri menteri,negatif,negatif,negatif,ya,ya
85,train,"waroeng steak and shake patut anda coba jika anda ingin menikmati steak dengan harga mahasiswa alias harga murah . memang rasanya masih di bawah restoran-restoran steak mahal , tapi itu tentu saja wajar melihat perbedaan harga nya . restoran ini kebanyakan dikunjungi oleh anak muda terutama mahasiswa . lokasi cukup mudah diakses . patut anda coba !",waroeng steak and shake patut coba nikmat steak harga mahasiswa alias harga murah restoran restoran steak mahal wajar beda harga restoran banyak kunjung anak muda mahasiswa lokasi mudah akses patut coba,positif,positif,positif,ya,ya
86,train,"mengelola bangsa yang besar dalam kemajemukan diperlukan kehati harian agar bagian bagian yang ada di dalam nya tidak hancur dan terbelah , itulah yang dimiliki demokrat sehingga siap jadi presiden 2019 .",kelola bangsa majemuk hati hari hancur belah milik demokrat presiden,positif,positif,negatif,ya,tidak
87,train,"mas pilu terbakar cemburu keren mantap lagu nya . pertama dengar langsung suka , bravo .",mas pilu bakar cemburu keren mantap lagu dengar suka bravo,positif,positif,positif,ya,ya
88,train,"indonesia itu seperti banget sama seni dan budaya nya , syukurlah gue dilahirkan di indonesia , jadi bisa banyak belajar tentang indah nya perbedaan .",indonesia banget seni budaya syukur gue lahir indonesia ajar indah beda,positif,positif,positif,ya,ya
89,train,"resto ini tempat nya sangat menawan mempunyai halaman yang luas . penataan nya sangat serasi dan bagus . suasana nya sangat nyaman untuk menyegarkan . menu cukup banyak dan beragam seperti nasi soto ayam , nasi timbel , tenderloin steak , sirloin steak , chkcken steak , spaghetty dan masih banyak lagi . nasi timbel rasanya enak dan mantap . tenderloin steak rasanya gurih dengan daging yang empuk . spaghetty rasanya enak dan mantap .",resto tawan halaman luas tata serasi bagus suasana nyaman segar menu agam nasi soto ayam nasi timbel tenderloin steak sirloin steak chkcken steak spaghetty nasi timbel mantap tenderloin steak gurih daging empuk spaghetty mantap,positif,positif,positif,ya,ya
90,train,"sampai di kampung daun sangat susah untuk mencari tempat parkir . saat masuk ke area kampung daun dihidangkan jajanan2 saat kecil seperti gulali , kue rangi , kue pancong , dll. untuk makan di restoran ini harus daftar tunggu sekitar 1 jam . tapi semua terbayar makanan yang disajikan sangat enak . pemandangan nya pun bagus dan bisa santai sejenak .",kampung daun susah cari parkir area kampung daun hidang jajan gulali kue rang kue pancong dll makan restoran daftar tunggu jam bayar makan saji pandang bagus santai,positif,positif,positif,ya,ya
91,train,"saya ke sini bersama keluarga untuk makan malam pada waktu jumat malam . suasana nya sangat nyaman dan romantis cocok untuk pasangan . ada tempat bermain untuk anak-anak , tempat nya luas dan bisa memilih kursi di dalam atau di luar ruangan . saat saya datang terdapat live musik sehingga menambah suasana makin oke . apalagi bisa meminta lagu , hehe . makanan nya enak-enak walaupun harga nya juga lumayan , hehehe . tapi secara keseluruhan sangat rekomendasi .",keluarga makan malam waktu jumat malam suasana nyaman romantis cocok pasang main anak anak luas pilih kursi ruang live musik tambah suasana oke lagu hehe makan harga lumayan hehehe rekomendasi,positif,positif,positif,ya,ya
92,train,sopan,sopan,positif,positif,positif,ya,ya
